S5,S6,S1,S2
S1PR2,9.70290610027057e-08,1309.17651459376,367.345435918857,333.681097653754
EFNB2,496.881612714383,1794.12598474261,154.933592305418,1238.26224828864
C12orf44,458.273585003218,744.219382436781,4011.30972295742,1408.65432489583
CNTNAP1,1589.33317503728,1475.67943160348,1307.3470958386,430.40859812751
SEMA3F,262.213332803518,1171.62444333733,5169.33234086032,261.354292473678
SACS,1463.8942910307,1593.8828415659,2.62057728747107,1640.51999647963
EFS,1098.72012859809,1742.06382260735,54.3313754239118,2671.64177315828
PLA2G15,1.91525166589363,106.386193283363,1937.16767658788,745.940340777047
ROCK2,2276.02102688578,1227.31418419945,3.11358138040681e-09,594.744772888262
ANK2,1699.81521002683,712.840049544541,3.29884020748637e-05,1026.18135993773
RBMS2,292.486408913944,1695.59075175023,651.77585196932,1725.31364921623
NOSIP,376.461485945705,547.281319095391,8767.54382016925,23.9378312840954
SEMA6B,227.408034861476,568.79074942239,1986.03395957137,2170.38149170564
C3orf58,2195.81630664433,1194.2476158593,276.733226656108,973.908588116618
TMEM45A,421.638215139767,425.082343695761,833.304545756371,6031.74983019757
CDC5L,976.132850355605,2100.9579013815,99.1240870726253,1093.95983565763
ABL2,389.909502092441,1239.65835004406,6.9091358564111,2345.28935179636
GOLIM4,1094.31172763053,2040.65919065568,5.45806986925372e-09,3793.18253298363
ARHGEF10L,2849.89272943507,765.507109156412,0.335215882214649,10.0086872880769
EPB41L1,2295.22653169708,1297.9968252311,809.003853082794,868.964337002063
CLSTN3,614.499473700377,1394.4063882824,1509.32062187499,2297.81316998923
TCN2,558.133808790445,234.859704548539,2605.34507077942,200.062901611565
ACACA,1657.88825743921,1851.7791999565,284.721230757203,1160.62453219378
AKT3,2805.8061535371,1067.96500090171,1.67464363106195,1522.59433616868
LOC399959,883.246110041521,1277.89792804853,3174.26055668198,1188.80776100208
FTHL3,1079.61594354811,13.9523787000108,2691.67673199137,1817.49434603177
RAB11FIP5,635.87564730615,1303.04160295456,988.971647154417,4463.31125600794
ALKBH7,689.335177745343,214.640544443328,8137.99221929525,32.2065636591425
PLEKHG3,2705.17074098509,764.431737485134,736.526424593541,129.666392403102
XAF1,772.786437127515,754.389377503653,0.0157701832374479,230.76557428343
NEDD9,718.474287490141,1227.86679836086,0.216469454965785,1780.16719979432
HPCAL1,502.45326073733,884.654504835034,4708.1794625251,227.475438344066
RPTOR,2833.27341346531,1173.73361953377,898.918077373328,320.378618310916
KCTD15,2419.18873879987,1565.54897597518,503.924267214859,1195.34347761065
AKAP2,2416.6376438695,1257.51261909954,9.08942847067456e-10,807.857715698607
TP53,531.239284759718,1670.41547853562,2865.45335716154,237.676838395268
E2F1,2145.22769891161,1063.47064061703,1181.56942094529,0.000341258453852787
CCNB1,797.108044757606,1578.14108443575,1075.09872061644,234.609702185092
PSD3,421.013511944487,1559.55431390721,0.0761224851084907,3750.40018756282
URB1,2142.30678034082,1628.87296314383,46.4666786768143,541.830173514504
ESRRA,925.376919428817,357.618616611001,1931.15398160053,398.817150942866
ADAMTS7,7.80190143329101,1624.20619072306,1.5089938830091,2094.58750252602
ZFHX3,1699.03681024723,2030.5343409659,571.960808790443,804.607873158233
LARGE,2744.59900664991,967.402911928945,1.99046606350454,21.6237041042161
CXCL16,397.11768238155,98.1188695290789,13.1035027634767,1457.94324785364
MTSS1,909.65011752393,1431.94373828297,887.422491973918,245.125849641263
