S9,S5,S1,S8,S4,S3
MATK,987.016872382663,538.618650715822,287.895919282454,6.2975548497145e-11,189.031982912171,1.12334211135588e-06
MMD,432.342663825793,1952.02350223328,273.715519112847,0.489939556133095,0.000646298330361845,3.72932527670408e-12
IL4I1,434.105685185688,340.342289782634,30.1318805730938,0.258517419779288,1078.97387873596,1954.76478382316
C14orf132,1028.99890004893,2.46584629083219e-06,1175.54787552029,2173.91681141509,419.491774367824,29.4264692252784
FADS3,426.701824595153,11.8118992063581,567.573392312783,177.584376980328,382.428562173166,1230.31765245638
RELL1,22.712364797688,922.276646073428,450.363916391628,1.36458720661927e-05,1990.25484679237,1574.08464730012
MYO5C,840.832478869054,660.928327534844,1257.08694393486,259.788651683093,0.217971452834731,4.81818802198883e-08
EPSTI1,0.0018860166382692,6.60612868898601,4.59037183039537e-05,590.304086429446,0.00053392934245047,3168.8205464528
HLA-DQA2,500.071697603248,286.256888073136,5.54494731908837e-09,0.00114067551983593,140.658088893243,528.200008681256
MICALL2,161.015856240355,386.110224153142,874.764207884122,95.0607067403282,1083.68482047098,1437.9033267924
