S5,S2,S1
SPEG,6.66820552552869,511.870081086789,4.54498507836656e-18
PAX1,1.06014056465004e-30,4.90036851511164e-23,1.60285282466891e-30
STEAP3,2.4514079503223e-06,1.21466040525965e-15,166.293847407559
GDF10,616.076155915906,285.797602246342,7.5053042989312e-15
CPA3,4.75680038528308e-12,4.37176617472996e-19,4.45218629391947e-20
NGFR,270.941180652661,8.43394341217999e-12,7.79730603890575e-15
ATRNL1,704.769784376281,1003.75486069037,0.000720542616580039
LINGO1,738.092325409785,0.462960310024193,254.872970693924
COL9A3,302.868233165848,341.295745633829,6.9182027644376e-26
LASS1,137.553110199498,2163.50922114323,4.25619933504055e-13
LRIG1,12.3008191501605,404.371806997294,280.023331745067
ADAM19,601.45980747723,8.21809761158665e-08,5.91731021366658e-16
FITM1,158.142817786468,234.661599103169,281.732473676737
DMKN,918.630716926121,693.869003609997,2.77706435761629e-13
ALDH1A3,4.05277882923355e-21,1.08600462787257e-17,209.7626367181
MLLT11,190.051556533763,0.00658579318444358,433.174247304363
BAI2,225.767079393144,0.000436028341415977,2.92198257178827e-05
ASPHD1,205.500113512623,657.028066822172,497.930351548708
FMO3,5.15555132437918e-13,8.18420166358065e-05,8.25927863492924e-26
SELENBP1,236.435293557737,66.5964526334986,1.66422814388516e-11
MAPT,4.6392022212469e-15,6.51002205936063e-07,1014.87861284178
LFNG,0.0224851916174131,654.28062722152,1.00251635568567e-15
INA,4.80426197513065e-06,282.445900151522,456.19250467785
PCDHGB5,507.820299387036,1.20526021785166e-15,860.802579289293
GRAMD3,156.733827496444,9.69177532698223e-15,666.806607413255
HAGHL,321.504704047208,1127.10080082758,193.049888433024
TMEM200A,1487.85537543263,207.334790341828,0.0735191070796578
NET1,333.215329544737,247.629131429809,332.944419827012
DOCK5,0.031882868004266,14.9506394680791,795.098946960329
FER1L4,220.963365020247,555.289591260966,1.1998776227359e-18
FZD7,515.751268087187,355.113917919286,262.6516886756
CMKLR1,1.63645620874363e-13,6.35222954791815e-13,2.77912450226892e-12
