S6,S5,S2,S7,S9,S8
REG1B,2.44120594729003e-67,5.5704212808631e-35,9.56433510981644e-21,1.9189996828516e-05,1.58660004922736e-35,4.1885497392546e-26
FSTL1,0.133399635047839,3919.62051887828,0.00884864409658065,5.43290807060222,0.0213054597747139,5.76714936000076e-06
AKAP12,1.32501551154455e-17,2285.6228324005,531.635451161187,248.480309186831,1155.69376284071,1.43627836481918e-10
ATHL1,2482.35244027249,0.00244260402922979,628.351363068399,9882.8114901194,1251.65802859106,22.7884901583721
S100A11,1.76524522634134e-07,3.18285656550095e-16,9.27178390831977e-05,1.01698987557789e-10,1.28361390639164e-21,7530.87298836626
VCAN,4.1093207037426e-18,53.8216317148563,3.26063463135595e-24,2.73602885753239,2.43074546234238,1.59801955500211e-07
TMEM141,1458.13452583802,28.466854118189,72.6974572114705,800.272579800132,1.55650615226998,16172.2263182412
WARS,989.475533172538,782.794714652723,914.988137241828,7.70731124198265,188.33405427625,3727.41985982527
SPINT2,4.93248819440488e-07,4.52980633338748e-27,1.95143691233265e-36,8.65748913242191e-19,3.4535442761266,3035.92061201415
RNASE1,616.605646832007,931.547339623375,507.737914103816,4784.36557077391,2.48685274583106e-08,3503.72065026403
CFTR,1.63461339399026e-41,3.61959440224484e-43,5.48553302391667e-57,8.96361938580747e-53,3.72256053232754e-61,1.30397998277156e-23
FBLN1,493.616559826323,5.57450210561674e-14,373.710930560661,6.30556800905607e-16,1764.251159669,3694.29573405895
RPL9,43.5572385591045,1190.97631829667,0.000184178077577842,1012.58026423574,3511.52581108942,13519.883855032
CD44,5.34689602351669,72.4273461210092,1602.08857096121,2.46500182153343e-14,3.57703983513303e-16,1.38267370238335e-08
RHBG,5.93122051356214e-18,2.73912173874893e-16,11211.1307353476,1127.21274259811,1.94728089900383,2.46031672112041
OLFM2,4430.93651648201,4163.01011213138,5.32294275767323,5388.48724933093,0.0058212067752045,9.47731559061203
CPE,1518.62387597716,1465.21265725958,2.72743854956508e-14,4357.20981054533,3341.79832665035,7.91371614118236e-09
GPD1,1460.46324655103,12567.1494481219,1.09360962269937e-05,748.256300139461,2.41579616739352e-18,0.0122352831743388
